# TAGS -- 1460 distinct after exclusions
# count	locations	tag
10	10	pauperslockers
10	10	reagent shop
10	9	rogue guild
10	9	rogue guild footpads
10	9	rogue guild masters
10	9	rogueguild
10	1	striped warcat
10	5	treasuremaster
10	10	urchin guide chronomages
10	9	urchin guide docks
10	10	urchin guide fletcher
10	10	urchin guide stable
9	9	cleric alchemy administrator
9	9	cleric alchemy cleaning supplies
9	9	cleric alchemy guildmaster
9	9	cleric alchemy masters
9	9	cleric alchemy shop
9	9	cleric alchemy training cauldron
9	9	cleric guild
9	9	cleric guild administrator
9	9	cleric guild guildmaster
9	9	cleric guild masters
9	9	clericguild
9	9	clericshop
9	9	cobbling
9	9	empath alchemy administrator
9	9	empath alchemy cleaning supplies
9	9	empath alchemy guildmaster
9	9	empath alchemy masters
9	9	empath alchemy shop
9	9	empath alchemy training cauldron
9	9	empath guild
9	9	empath guild administrator
9	9	empath guild guildmaster
9	9	empath guild masters
9	9	empath guild shop
9	9	empathguild
9	1	enemy man o' war
9	9	exchange
9	8	fishing shop
9	9	grocer
9	9	house clerk
9	9	mho cart rentals
9	9	mho hall
9	9	mho tent rentals
9	9	premium supernode
9	9	premium:transport
9	9	rogue guild administrator
9	9	rogue guild cleaning supplies
9	9	rogue guild dummies
9	9	rogue guild guildmaster
9	9	rogue guild kitchen
9	9	rogue guild mannequin
9	9	rogue guild mannequins
9	9	rogue guild master
9	9	rogue guild shop
9	9	rogue guild toolbench
9	9	rogue guild tools
9	9	rogue guild workshop
9	9	sorcerer alchemy administrator
9	9	sorcerer alchemy cleaning supplies
9	9	sorcerer alchemy guildmaster
9	9	sorcerer alchemy masters
9	9	sorcerer alchemy shop
9	9	sorcerer alchemy training cauldron
9	9	sorcerer guild
9	9	sorcerer guild administrator
9	9	sorcerer guild guildmaster
9	9	sorcerer guild masters
9	9	sorcererguild
9	3	sunfist
9	3	superintendent
9	9	urchin guide bardguild
9	9	urchin guide empathguild
9	9	urchin guide healer
9	7	urchin guide warriorguild
9	7	warrior guild
9	7	warrior guild administrator
9	7	warrior guild boards
9	7	warrior guild branches
9	7	warrior guild cleaning supplies
9	7	warrior guild dark attendant
9	7	warrior guild dummies
9	7	warrior guild guildmaster
9	7	warrior guild metal stage doors
9	7	warrior guild sauna
9	7	warrior guild shop master
9	7	warrior guild wheel
9	7	warrior guild wooden boxes
9	7	warrior guild wooden stage doors
9	7	warriorguild
9	9	wizard alchemy administrator
9	9	wizard alchemy cleaning supplies
9	9	wizard alchemy guildmaster
9	9	wizard alchemy masters
9	9	wizard alchemy shop
9	9	wizard alchemy training cauldron
9	9	wizard guild
9	9	wizard guild administrator
9	9	wizard guild guildmaster
9	9	wizard guild masters
9	9	wizard guild shop
9	9	wizard guild workshop
9	9	wizard workshop
9	9	wizardguild
8	8	bard guild guildmaster
8	8	bard guild shop
8	1	blue mermaid rose
8	1	downy skullcap
8	1	greater kappa
8	1	green fungus
8	1	mermaid's-scale rose
8	8	mho hall clerk
8	1	molds
8	1	myklian
8	1	orange-yellow chamomile
8	8	premium teleportation jewelry
8	8	ranger guild
8	8	ranger guild guildmaster
8	8	rangerguild
8	8	rogue guild bar
8	8	rogue guild table
8	8	silver-cost:32928:25000
8	8	summoning chamber
8	8	urchin guide clericguild
8	8	urchin guide cobbling
8	8	urchin guide grocer
8	8	urchin guide temple
8	8	urchin guide wizardguild
8	7	voln
8	6	warrior guild snacks
7	7	boatswain
7	7	cleric guild shop
7	7	debt
7	1	enemy carrack
7	1	enemy galleon
7	7	mho hall board
7	7	ranger shack
7	6	rogue guild trainer
7	7	silver-cost:1870:25000
7	7	silver-cost:29033:25000
7	7	silver-cost:31493:35000
7	7	silver-cost:32372:25000
7	7	sorcerer guild node
7	7	sorcerer guild shop
7	7	sorcerer guild workshop
7	6	travel office
7	1	tree spirit
6	6	advpickup
6	6	alchemy sea water
6	1	burgundy kriti
6	6	citizenship
6	1	creamy white ixia
6	1	cysaegir public locker
6	1	dusky burgundy ixia
6	1	enemy brigantine
6	1	enemy frigate
6	6	firewood
6	1	fresh marjoram
6	6	fshop
6	6	healer
6	1	nocturnum orchid
6	4	omnishrine
6	4	pistachio nuts
6	1	primrose rosette
6	1	shadow mare
6	6	silver-cost:10838:25000
6	1	spine-covered cactus
6	1	white cactus bloom
6	2	white mullein blossom
6	1	white night phlox
6	1	white willow bark
5	5	advguard2
5	2	brigatta locker
5	1	canver stick
5	1	canver twig
5	5	citizen lounge
5	1	enemy sloop
5	2	fishing
5	1	flower-laden twig
5	1	mistwood stick
5	1	pink tamarisk flower
5	5	rogue guild hardlock
5	5	silver-cost:11756:12500
5	5	silverwood
5	1	tamarisk bark
5	1	tamarisk flower
5	1	tamarisk leaflet
5	1	tamarisk twig
5	5	urchin guide sorcererguild
5	5	wagon
4	4	advguard3
4	4	cleric shop
4	4	dock handler
4	1	gate
4	2	locker:twilighthall
4	4	mentors
4	1	pond
4	3	ronan
4	3	sglocker
4	1	shimmershroom
4	4	silver-cost:250:25000
4	4	smokeshop
4	1	warrior guild bush
4	4	warrior guild sheet metal
4	2	yellow sorrel sprig
3	3	beaconhall
3	1	caravan
3	3	citizen
3	2	firebird
3	1	icicle
3	2	lockerentrance:twilighthall
3	3	locus
3	3	northgate
3	2	ringable
3	3	silver-cost:11756:25000
3	3	trove
3	3	urchin guide northgate
2	0	Poisoned Heretic
2	1	Silent Investor
2	1	altar
2	2	antimagic
2	1	arctic puma
2	2	arena
2	2	artificer
2	2	bakery
2	1	blush white hollyhock
2	2	boot
2	2	boutique
2	1	chocolate-red hollyhock
2	1	cleo
2	1	cleodelia
2	2	clothier
2	2	colgifts
2	2	colinquisitor
2	2	colpoohbah
2	2	colservices
2	2	coltaskmaster
2	2	commons
2	2	duplicate
2	1	ebon hollyhock
2	2	eonak
2	1	foe:minotaur magus
2	2	fusion
2	2	gosaena
2	1	green gingko leaf
2	1	khy
2	1	khylynnia
2	2	koar
2	1	leafi
2	1	leafiara
2	2	leya
2	2	locker:beaconhall
2	2	map:samepath:southeast,northeast
2	1	mapdb:fixme
2	2	marlu
2	2	mount:return
2	1	moved
2	2	necropolis
2	1	niveous hollyhock
2	1	oxblood naefira
2	1	pale violet hollyhock
2	1	paupers locker
2	2	pawn shop
2	1	peer down =~ /Obvious exits: down/
2	2	peer up =~ /^Obvious exits: up, down/
2	2	permifier
2	2	phoen
2	1	plum wood rose
2	2	public lockers
2	1	quarters
2	2	reddish black direbloom
2	1	resaeun bark
2	2	rogue guild hardlock:door
2	2	rogue workshop
2	2	saffron ginger root
2	2	sanctum
2	1	selema
2	2	ship broker
2	2	shipbroker
2	2	shovels
2	2	silver-cost:17645:500
2	2	silver-cost:250:35000
2	1	silver-cost:25145:3000
2	2	silver-cost:29860:3000
2	1	silvergate locker
2	2	smithy
2	1	sunny yellow hollyhock
2	2	sylinar
2	2	tilamaire
2	2	traveler
2	1	trove 5
2	2	twilight locker
2	2	urchin guide boatswain
2	2	urchin guide commons
2	2	urchin guide gate
2	2	urchin guide osatask
2	2	urchin guide star
2	2	urchin guide westgate
2	2	v'tull
2	2	voln grandmaster
2	2	voln master hall
2	2	voln meditation chamber
2	1	warcats
2	2	warrior guild crates
2	2	warrior guild shop
2	2	westgate
2	2	zelia
1	1	Alouetta
1	1	Aramund
1	1	Arkati
1	1	BRS
1	1	Conundrum
1	1	Emberstone
1	1	Gemaneen
1	1	Icemule Trace empath alchemy shop
1	1	Icemule cleric alchemy shop
1	1	Icemule empath guild entrance
1	1	Icemule sorcerer alchemy shop
1	1	Icemule wizard alchemy shop
1	1	Ilyra
1	1	Jaired
1	1	Jaired's
1	1	Keh'nira Fyr'sah
1	1	Khy
1	1	Khylynnia
1	1	LDI
1	1	Leya
1	1	Luthrek
1	1	Mania
1	1	Mist Harbor cleric alchemy shop
1	1	Mist Harbor empath alchemy shop
1	0	Node
1	1	River's Rest cleric alchemy shop
1	1	River's Rest empath alchemy shop
1	1	River's Rest wizard alchemy shop
1	1	Rivers Rest sorcerer alchemy shop
1	1	Sadie
1	0	Sanctuary
1	1	Solhaven cleric alchemy shop
1	1	Solhaven empath alchemy shop
1	1	Solhaven sorcerer alchemy shop
1	1	Sorcerer Guild
1	1	Ta'Illistim cleric alchemy shop
1	1	Ta'Illistim empath alchemy shop
1	1	Ta'Illistim sorcerer alchemy shop
1	1	Ta'Illistim wizard alchemy shop
1	1	Ta'Vaalor cleric alchemy shop
1	1	Ta'Vaalor empath alchemy shop
1	1	Ta'Vaalor wizard alchemy shop
1	1	Teras empath alchemy shop
1	1	Wehnimer's Landing cleric alchemy shop
1	1	Wehnimer's Landing empath alchemy shop
1	1	Wehnimer's Landing general store
1	1	Wehnimer's Landing wizard alchemy shop
1	1	Whirlin
1	1	WillowHall
1	1	Willowhall
1	1	Wyromania
1	1	Zephyra Wilds
1	1	Zul Logoth cleric alchemy shop
1	1	Zul Logoth empath alchemy shop
1	1	Zul Logoth sorcerer alchemy shop
1	1	Zul Logoth wizard alchemy shop
1	1	achemist
1	1	advhead
1	1	agora
1	1	agora entry
1	1	agora promenade
1	1	alchemsit
1	1	alex workshop
1	1	altar of wind
1	1	amaranthgate
1	1	amasalen
1	1	andelas
1	1	annattogate
1	1	annex
1	1	aota
1	1	apothecarium
1	1	arachne
1	1	arakhor estate
1	1	arakhor estate ballroom
1	1	arakhor estate bedroom
1	1	arakhor estate deck
1	1	arakhor estate parlour
1	1	arakhor estate workshop
1	1	aramund
1	1	arcane
1	1	arcane masters
1	1	arena:team
1	1	arkati
1	1	armory
1	1	arrivals
1	0	assassin
1	1	atoll barrier
1	1	atoll black crystal
1	1	atoll blue crystal
1	1	atoll red crystal
1	1	atoll yellow crystal
1	1	aurora light
1	1	aurora light bedroom
1	1	aurora light loft
1	1	aurora light node
1	1	aurora light pasture
1	1	aurora light stables
1	1	aurora light stables 2
1	1	aurora's light
1	1	aurora's light bedroom
1	1	aurora's light loft
1	1	aurora's light node
1	1	aurora's light pasture
1	1	aurora's light stables
1	1	aurora's light stables 2
1	1	auto-flarer
1	1	autoflarer
1	1	ayaa
1	1	ballista
1	1	bandit
1	1	barkeep
1	1	barracks
1	1	barrister
1	1	bastion
1	1	bath
1	1	bathhouse
1	1	bcourtyard
1	1	beach
1	1	beldrins
1	1	bericsaba
1	1	bloodhenge
1	1	bmarket
1	1	board
1	1	boats
1	1	brigatta
1	1	brigatta tables
1	1	brigatta workshop
1	1	britbane
1	1	bruise-colored woundwort
1	1	cages
1	1	cannon
1	1	cannons
1	1	captains
1	1	cargo
1	1	carving
1	1	carvings
1	1	castle library
1	1	cave
1	1	ccf
1	1	ccf:2018
1	1	chancel
1	1	charl
1	1	cheap seats
1	1	cheapseats
1	1	cheprize
1	1	cheshops
1	1	cholen
1	1	chum
1	1	citygate
1	1	clairette
1	1	cleo's
1	1	cleos
1	1	cobblers
1	1	col
1	1	col taskmaster
1	1	colosseum
1	1	common
1	1	constable
1	1	conundrum
1	1	council of light
1	1	courtyard
1	1	crew
1	1	crewquarters
1	1	dabbler
1	1	dais
1	1	debt collector
1	1	debtcollector
1	1	departures
1	1	dice
1	1	diriko
1	1	dock
1	1	docks
1	1	dr sewer
1	1	drafix
1	1	dummy
1	1	duskruin:smithy
1	1	eastcart
1	1	eastgate
1	1	easttower
1	1	eboard
1	1	echo of volgust
1	1	eg
1	1	endlesswall
1	1	endwall
1	1	enhancive swap
1	1	eorgina
1	1	epilogue
1	1	fash'lo'nae
1	1	fcentral
1	1	festival of lumnea
1	1	figurehead
1	1	firepit
1	1	fishing gear
1	1	fishing2
1	1	fishing3
1	1	fishing4
1	1	flag
1	1	flare tokens
1	1	flares
1	1	foxhunt
1	1	friths
1	1	front desk
1	1	fwi festival
1	1	fwi:bank
1	1	fwifestival
1	1	gem
1	1	gem shop
1	1	gemaneen
1	1	ghia
1	1	ghianna
1	1	ghoul
1	1	giantphang
1	1	gladiator
1	1	goldenhelm
1	1	gp
1	1	grand auction
1	1	grand inquisitor
1	1	grandmaster
1	0	grumpy hermit
1	1	helden
1	1	helden hall
1	1	herb hunt
1	1	herbalist2
1	1	herbhunt
1	1	hess
1	1	hot spring
1	1	hot springs
1	1	hotel
1	1	house arcane
1	1	house of paupers
1	1	house phoenix
1	1	house sovyn
1	1	house sylvanfair
1	1	hull
1	1	huntress
1	1	hut
1	1	hut of bones
1	1	idol
1	1	ignis workshop
1	1	imaera
1	1	incanter
1	1	investor
1	1	invoker
1	1	ivas
1	1	jahadeem
1	1	jastev
1	1	jaston
1	1	jouster
1	1	kai
1	1	kaldonis
1	1	kingscourt
1	1	kobold shaman
1	1	krinchat
1	1	kuon
1	1	laethe
1	1	lelqui
1	1	library
1	1	lichyard
1	1	lighthouse
1	1	live games
1	1	livegames
1	1	loci
1	1	lockers
1	1	lockpick:door:-125
1	1	locksmith-pool
1	1	lodge
1	1	lorminstra
1	1	lorn
1	1	lornieh
1	1	losthome
1	1	lounge
1	1	lumnea
1	1	lumnis
1	1	luukos
1	1	lyrna
1	1	mairiseth
1	1	mairiseth telearat
1	1	maithlea
1	1	malwith
1	1	mana trawl
1	1	mania
1	1	map:samepath:east,down
1	1	map:samepath:east,northwest
1	1	map:samepath:east,south,north
1	1	map:samepath:east,southeast
1	1	map:samepath:east,west
1	1	map:samepath:north,northeast,east,southeast,south,southwest,west,northwest,up,down,out
1	1	map:samepath:north,northwest,northeast
1	1	map:samepath:north,south
1	1	map:samepath:northeast,northwest
1	1	map:samepath:northwest,southeast
1	1	map:samepath:southeast,east
1	1	map:samepath:southeast,northeast,southwest,west
1	1	map:samepath:southwest,northwest
1	1	map:samepath:southwest,southeast
1	1	map:samepath:west,south,north,northwest,southwest
1	1	map:samepath:west,southeast,southwest
1	1	map:samepath:west,southwest,south
1	1	maraene
1	1	marauder
1	1	marketbridge
1	0	master assassin
1	1	master of gifts
1	1	master of services
1	1	meb bed
1	1	meb loft
1	1	meb node
1	1	meb's bed
1	1	meb's loft
1	1	meb's node
1	1	mebloft
1	1	mebnode
1	1	mebroom
1	1	menagerie madness
1	1	messhall
1	1	militia hall
1	1	militia keep
1	1	mirtag
1	1	mobile smithy
1	1	moneychanger
1	1	moonsedge crypt
1	1	moothall
1	1	ms crypt
1	1	mscastle
1	1	mscrypt
1	1	mslib
1	1	mularos
1	1	narwhal
1	1	needle
1	1	needle of pentas
1	1	nest
1	1	night market
1	1	night markets
1	1	nightowl
1	1	niima
1	1	northmarket
1	1	npc locksmith
1	1	npcbless
1	1	npclocksmith
1	1	obsidian acropolis
1	1	obsidian acropolis lyceum
1	1	obsidian acropolis observatory
1	1	obsidian acropolis oubliette
1	1	obsidian acropolis stoa
1	1	obsidian acropolis workshop
1	1	oleani
1	1	ophidian cabal
1	1	orange persimmon
1	1	orb
1	1	organ
1	1	osaguild
1	1	osasshop
1	1	osatask
1	1	papers
1	1	patio
1	1	pauper workshop
1	1	paupers
1	1	pauperslocker
1	1	peer curtain =~ /Beacon Hall/
1	1	peer curtain =~ /Twilight, West Tapestry Room/
1	1	peer curtain =~ /^\[Annex, Beacon Hall Lobby\]$/
1	1	peer curtain =~ /^\[Annex, Cairnfang Manor Lobby\]$/
1	1	peer curtain =~ /^\[Annex, Helden Hall Lobby\]$/
1	1	peer curtain =~ /^\[Annex, House Brigatta Lobby\]$/
1	1	peer curtain =~ /^\[Annex, House Phoenix Lobby\]$/
1	1	peer curtain =~ /^\[Annex, House Sovyn Lobby\]$/
1	1	peer curtain =~ /^\[Annex, House Sylvanfair Lobby\]$/
1	1	peer curtain =~ /^\[Annex, Rone Academy Lobby\]$/
1	1	peer curtain =~ /^\[Annex, Silvergate Inn Lobby\]$/
1	1	peer curtain =~ /^\[Annex, Twilight Hall Lobby\]$/
1	1	peer curtain =~ /^\[Annex, White Haven Lobby\]$/
1	1	peer curtain =~ /^\[Annex, Willow Hall Lobby\]$/
1	1	peer curtain =~ /^\[Paupers, Annex Lobby\]$/
1	1	peer door =~ /Arcane Masters|House of Paupers/
1	1	peer door =~ /Beacon Hall|Obsidian Tower/
1	1	peer door =~ /House Brigatta|Cairnfang Manor/
1	1	peer door =~ /House Sylvanfair|House Sovyn/
1	1	peer door =~ /Rising Phoenix|Argent Aspis/
1	1	peer door =~ /Silvergate Inn|Twilight Hall/
1	1	peer door =~ /White Haven|Helden Hall/
1	1	peer door =~ /Willow Hall|Rone Academy/
1	1	peer down =~ /Obvious exits: up, down/
1	1	peer down =~ /^Obvious exits: southeast, up/
1	1	peer down =~ /^Obvious exits: southeast/
1	1	peer down =~ /^Obvious exits: southwest/
1	1	peer east =~ /^Obvious (?:paths|exits): east, west/
1	1	peer east =~ /^Obvious (?:paths|exits): northeast, east, west, northwest/
1	1	peer east =~ /^Obvious exits: south, west/
1	1	peer ne =~ /Obvious paths: north, southeast, south, southwest/
1	1	peer ne =~ /Obvious paths: north, southwest/
1	1	peer north =~ /^Obvious exits: north, south$/
1	1	peer north =~ /^Obvious paths: east, southeast, south, southwest$/
1	1	peer north =~ /^Obvious paths: east, southeast, south, southwest, west$/
1	1	peer north =~ /^Obvious paths: north, northeast, east, south/
1	1	peer north =~ /^Obvious paths: northeast, south, northwest/
1	1	peer north =~ /^Obvious paths: south/
1	1	peer northeast =~ /A Twisting Tunnel, Shaft/
1	1	peer northeast =~ /^Obvious exits: north, east, southwest, west, up$/
