# Disposition triage for gs.map -- components with NO verdict from curation/status.toml.
# Fill `verdict`: live | closed | gone | delete      (blank = still undecided)
#   live   = real place, entrance edge merely unrecorded -> walk it later
#   closed = exists, shut right now, expected back -> draw, do not route
#   gone   = removed or retired, nothing scheduled -> do not draw
#   delete = bookkeeping stub -> remove the room entirely
# Built ignoring `event transport` edges (seasonal, untraversable out of season).
# The 33 rules in curation/status.toml already cover 5516 rooms and are not listed here.
#
verdict	rooms	anchor	anchor_uid	existing_tags	locations	sample_titles
delete	1	25884			<none> (1)	duplicate of 20732
delete	1	25993			<none> (1)	duplicate of 23212
delete	1	25995			<none> (1)	duplicate of 13099
	1	26051			Wehnimer's Landing (1)	[Mikalmas's Magic Shoppe]
	1	26052			Wehnimer's Landing (1)	[Mikalmas's Magic Shoppe]
delete	1	26061			<none> (1)	duplicate of 25984
delete	1	26094			<none> (1)	duplicate of 1491
	1	26382			Wehnimer's Landing (1)	[Lord Metaboculous' Room]
	1	26392			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	26393			the High Plains (1)	[Dark Tower, Great Hall]
	1	26394			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	26395			the High Plains (1)	[Dark Tower, Great Hall]
	1	26397			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	26398			the High Plains (1)	[Dark Tower, Great Hall]
	1	26399			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	26400			the High Plains (1)	[Dark Tower, Great Hall]
	1	26401			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	26402			the High Plains (1)	[Dark Tower, Great Hall]
	1	26403			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	26404			the High Plains (1)	[Arctic Tundra, High Plain]
	1	26405			the High Plains (1)	[A Steep Trail]
	1	26915	18018011		Wehnimer's Landing (1)	[Black Hand, Pantry]
delete	1	26925			<none> (1)	duplicate of 26922
delete	1	26926			<none> (1)	duplicate of 26922
delete	1	26927			<none> (1)	duplicate of 26924
delete	1	26933			<none> (1)	duplicate of 26922
delete	1	27043			<none> (1)	duplicate of 25697
delete	1	27044			<none> (1)	duplicate of 25702
delete	1	27045			<none> (1)	duplicate of 25703
delete	1	27046			<none> (1)	duplicate of 25821
delete	1	27047			<none> (1)	duplicate of 25822
delete	1	27089			<none> (1)	duplicate of 18327
delete	1	27090			<none> (1)	duplicate of 18325
delete	1	27091			<none> (1)	duplicate of 18321
delete	1	27092			<none> (1)	duplicate of 18319
delete	1	27093			<none> (1)	duplicate of 18267
delete	1	27094			<none> (1)	duplicate of 18329
delete	1	27095			<none> (1)	duplicate of 18331
delete	1	27096			<none> (1)	duplicate of 18326
delete	1	27097			<none> (1)	duplicate of 18324
delete	1	27098			<none> (1)	duplicate of 18322
delete	1	27099			the environs of the Saewehna Lagoon (1)	duplicate of 18320
delete	1	27100			<none> (1)	duplicate of 18333
delete	1	27101			<none> (1)	duplicate of 18330
delete	1	27102			<none> (1)	duplicate of 18310
delete	1	27103			<none> (1)	duplicate of 18311
delete	1	27104			<none> (1)	duplicate of 18334
delete	1	27105			<none> (1)	duplicate of 18276
delete	1	27106			<none> (1)	duplicate of 18339
delete	1	27107			<none> (1)	duplicate of 18278
delete	1	27108			<none> (1)	duplicate of 18283
delete	1	27109			<none> (1)	duplicate of 18285
delete	1	27110			<none> (1)	duplicate of 18287
delete	1	27111			<none> (1)	duplicate of 18298
delete	1	27112			<none> (1)	duplicate of 18342
delete	1	27113			<none> (1)	duplicate of 18343
delete	1	27114			<none> (1)	duplicate of 18294
delete	1	27115			<none> (1)	duplicate of 18307
delete	1	27116			<none> (1)	duplicate of 18308
delete	1	27117			<none> (1)	duplicate of 18309
delete	1	27118			<none> (1)	duplicate of 18274
delete	1	27119			<none> (1)	duplicate of 18273
delete	1	27120			<none> (1)	duplicate of 18272
delete	1	27121			<none> (1)	duplicate of 18337
delete	1	27122			<none> (1)	duplicate of 18271
delete	1	27123			<none> (1)	duplicate of 18335
delete	1	27124			<none> (1)	duplicate of 18336
delete	1	27125			<none> (1)	duplicate of 18270
delete	1	27126			<none> (1)	duplicate of 18266
	1	27127			<none> (1)	duplicate 18265
delete	1	27128			<none> (1)	duplicate of 18314
delete	1	27129			<none> (1)	duplicate of 18268
delete	1	27130			<none> (1)	duplicate of 18288
delete	1	27146			<none> (1)	duplicate of 24628
delete	1	27387			<none> (1)	duplicate of 27383
	1	27537			<none> (1)	
	1	27629			<none> (1)	
delete	1	27643			<none> (1)	duplicate of 23239
delete	1	27654			<none> (1)	duplicate of 15464
delete	1	27744			<none> (1)	duplicate of 15793
delete	1	27977			<none> (1)	duplicate of 24798
delete	1	27978			<none> (1)	duplicate of 24241
delete	1	27979			<none> (1)	duplicate of 24804
delete	1	28155			<none> (1)	duplicate of 25916
	1	28249			Talador (1)	[Talador, The Bleaklands]
	1	28251			Talador (1)	[Talador, The Bleaklands]
	1	28259		gone:1	Wehnimer's Landing (1)	[Melgorehn's Reach, Planar Nexus]
delete	1	28325			<none> (1)	duplicate of 27653
delete	1	28352			<none> (1)	duplicate of 9891
	1	28678			<none> (1)	duplicate 10848
delete	1	28683			<none> (1)	duplicate of 451
	1	28696			<none> (1)	
delete	1	28710			<none> (1)	duplicate of 12567
delete	1	28763			<none> (1)	duplicate of 25429
delete	1	28806			<none> (1)	duplicate of 28439
delete	1	29149			<none> (1)	duplicate of 29054
delete	1	29333			<none> (1)	duplicate of 27530
delete	1	29336			<none> (1)	duplicate of 27528
delete	1	29529			<none> (1)	duplicate of 9889
delete	1	29530			<none> (1)	duplicate of 9890
delete	1	29551			<none> (1)	duplicate of 15787
delete	1	29602			<none> (1)	duplicate of 19359
delete	1	29799			<none> (1)	duplicate of 28884
delete	1	30094			<none> (1)	duplicate of 27366
delete	1	30097			<none> (1)	duplicate of 27479
	1	32037			<none> (1)	
	1	32671			<none> (1)	
	1	32713	36		the heavens (1)	[F2P Limbo]
delete	1	32739			<none> (1)	duplicate of 18145
delete	1	33006			<none> (1)	duplicate of 25647
delete	1	33142			<none> (1)	duplicate of 23909
	1	33225	4216951		the shadow of the Sanctum (1)	[Hinterwilds Caravan, Sleigh]
	1	33246	3201503		the Isle of Four Winds (1)	[Mist Harbor, Jail]
	1	33247	2601		Wehnimer's Landing (1)	[Wehnimer's, Jail Cell]
	1	33248	2101301		the town of River's Rest (1)	[River's Rest, The Brig]
	1	33249	4043325		Icemule Trace (1)	[Icemule Trace, Cell]
	1	33250	13010022		Zul Logoth (1)	[The Cockroach Pit]
	1	33251	13105004		Ta'Illistim (1)	[Hall of Justice, Oubliette]
	1	33252	14108004		Ta'Vaalor (1)	[Hall of Justice, Pit of Doom]
	1	33253	3003054		the town of Kharam-Dzu (1)	[Lockup]
	1	33254	7118404		Kraken's Fall (1)	[Jailhouse, Cell]
	1	33255	14052014		Cysaegir (1)	[Reformatory, Detention Cell]
	1	34088	7116970		The Great Western Sea (1)	[Below Deck]
	1	34398			Hinterwilds (1)	[the Hinterwilds - Urchin Hideout]
	1	35764	-369000		Cold River (1)	[Under the Sea]
	1	36226	9181011		Elanthia (1)	[The Wasteland, Tunnel Shaft]
	1	36232	9181021		Elanthia (1)	[Deserted House, Cellar]
	1	36238	9159001		<none> (1)	[Itzel's Palapa]
	1	36246	4290029		the twin spires of Thanatoph (1)	[The Crossroads]
	1	36247	9117002		<none> (1)	[Scrimge's Office]
	1	36248	9243002		<none> (1)	[Private Beach, Ivry's Island]
	1	36249	9243004		<none> (1)	[Private Beach N, Ivry's Island]
	1	36250	9243003		<none> (1)	[Private Beach S, Ivry's Island]
	1	36251	9243001		<none> (1)	[Private Island, Ivry's Oasis]
	1	36252	9202002		<none> (1)	[Marstreforn's Golem Repair]
	1	36253	9179950		<none> (1)	[The Washed-a-Shore]
	1	36254	9179951		<none> (1)	[A Ruined Black Ship]
	1	36255	9179952		<none> (1)	[A Broken Crimson Schooner]
	1	36256	9179953		<none> (1)	[Are-You-Ashore]
	1	36257	9179954		<none> (1)	[Under the Sea]
	1	36258	9179955		<none> (1)	[Lair Lair, Pants on Fair]
	1	36259	9179956		<none> (1)	[Kenstrom's Bureau]
	1	36260	9179957		<none> (1)	[The Strategy Stage]
