# TAGS -- 1120 classification tags
# count	locations	tag	note
11	11	npccleric	45% beside herbs
11	11	portmaster	45% beside herbs
11	9	sanctuary	45% beside herbs
11	11	stable	82% beside herbs
11	11	townhall	82% beside herbs
11	11	travel waiting room	82% beside herbs
11	7	urchin guide bounty	36% beside herbs
11	11	urchin guide collectibles	45% beside herbs
11	11	urchin guide debts	55% beside herbs
11	11	urchin guide guard	82% beside herbs
11	11	urchin guide inn	55% beside herbs
11	11	urchin guide justice	36% beside herbs
11	11	urchin guide locksmith	45% beside herbs
11	11	urchin guide pawn	55% beside herbs
11	11	urchin guide townhall	82% beside herbs
11	11	urchin guide weapons	45% beside herbs
11	11	weapons	45% beside herbs
10	9	bard guild	80% beside herbs
10	9	bardguild	80% beside herbs
10	9	bhalocker	10% beside herbs
10	6	bounty	30% beside herbs
10	1	copper tea flower	60% beside herbs
10	10	dyers	50% beside herbs
10	10	fletcher	40% beside herbs
10	10	handler	70% beside herbs
10	1	locker:public	0% beside herbs
10	10	movers	40% beside herbs
10	10	pauperslockers	50% beside herbs
10	10	reagent shop	60% beside herbs
10	9	rogue guild	20% beside herbs
10	9	rogue guild footpads	0% beside herbs
10	9	rogue guild masters	0% beside herbs
10	9	rogueguild	20% beside herbs
10	5	treasuremaster	30% beside herbs
10	9	urchin guide docks	50% beside herbs
10	10	urchin guide fletcher	40% beside herbs
9	9	cleric alchemy administrator	0% beside herbs
9	9	cleric alchemy cleaning supplies	0% beside herbs
9	9	cleric alchemy guildmaster	0% beside herbs
9	9	cleric alchemy masters	0% beside herbs
9	9	cleric alchemy shop	0% beside herbs
9	9	cleric alchemy training cauldron	0% beside herbs
9	9	cleric guild	78% beside herbs
9	9	cleric guild administrator	0% beside herbs
9	9	cleric guild guildmaster	0% beside herbs
9	9	cleric guild masters	0% beside herbs
9	9	clericguild	78% beside herbs
9	9	clericshop	44% beside herbs
9	9	cobbling	44% beside herbs
9	9	empath alchemy administrator	0% beside herbs
9	9	empath alchemy cleaning supplies	0% beside herbs
9	9	empath alchemy guildmaster	0% beside herbs
9	9	empath alchemy masters	0% beside herbs
9	9	empath alchemy shop	0% beside herbs
9	9	empath alchemy training cauldron	0% beside herbs
9	9	empath guild administrator	0% beside herbs
9	9	empath guild guildmaster	0% beside herbs
9	9	empath guild masters	0% beside herbs
9	9	empath guild shop	0% beside herbs
9	1	enemy man o' war	0% beside herbs
9	9	exchange	22% beside herbs
9	8	fishing shop	33% beside herbs
9	9	grocer	44% beside herbs
9	9	house clerk	56% beside herbs
9	9	mho cart rentals	56% beside herbs
9	9	mho tent rentals	44% beside herbs
9	9	premium supernode	56% beside herbs
9	9	premium:transport	0% beside herbs
9	9	rogue guild administrator	0% beside herbs
9	9	rogue guild cleaning supplies	0% beside herbs
9	9	rogue guild dummies	0% beside herbs
9	9	rogue guild guildmaster	0% beside herbs
9	9	rogue guild kitchen	0% beside herbs
9	9	rogue guild mannequin	0% beside herbs
9	9	rogue guild mannequins	0% beside herbs
9	9	rogue guild master	0% beside herbs
9	9	rogue guild shop	0% beside herbs
9	9	rogue guild toolbench	0% beside herbs
9	9	rogue guild tools	0% beside herbs
9	9	rogue guild workshop	0% beside herbs
9	9	sorcerer alchemy administrator	11% beside herbs
9	9	sorcerer alchemy cleaning supplies	0% beside herbs
9	9	sorcerer alchemy guildmaster	0% beside herbs
9	9	sorcerer alchemy masters	0% beside herbs
9	9	sorcerer alchemy shop	0% beside herbs
9	9	sorcerer alchemy training cauldron	0% beside herbs
9	9	sorcerer guild	89% beside herbs
9	9	sorcerer guild administrator	11% beside herbs
9	9	sorcerer guild guildmaster	0% beside herbs
9	9	sorcerer guild masters	0% beside herbs
9	9	sorcererguild	89% beside herbs
9	3	sunfist	44% beside herbs
9	3	superintendent	44% beside herbs
9	9	urchin guide bardguild	78% beside herbs
9	9	urchin guide healer	56% beside herbs
9	7	urchin guide warriorguild	78% beside herbs
9	7	warrior guild	78% beside herbs
9	7	warrior guild administrator	0% beside herbs
9	7	warrior guild boards	0% beside herbs
9	7	warrior guild branches	0% beside herbs
9	7	warrior guild cleaning supplies	11% beside herbs
9	7	warrior guild dark attendant	0% beside herbs
9	7	warrior guild dummies	0% beside herbs
9	7	warrior guild guildmaster	0% beside herbs
9	7	warrior guild metal stage doors	0% beside herbs
9	7	warrior guild sauna	0% beside herbs
9	7	warrior guild shop master	0% beside herbs
9	7	warrior guild wheel	0% beside herbs
9	7	warrior guild wooden boxes	0% beside herbs
9	7	warrior guild wooden stage doors	0% beside herbs
9	7	warriorguild	78% beside herbs
9	9	wizard alchemy administrator	33% beside herbs
9	9	wizard alchemy cleaning supplies	11% beside herbs
9	9	wizard alchemy guildmaster	33% beside herbs
9	9	wizard alchemy masters	33% beside herbs
9	9	wizard alchemy shop	11% beside herbs
9	9	wizard alchemy training cauldron	0% beside herbs
9	9	wizard guild	89% beside herbs
9	9	wizard guild administrator	33% beside herbs
9	9	wizard guild guildmaster	33% beside herbs
9	9	wizard guild masters	33% beside herbs
9	9	wizard guild shop	11% beside herbs
9	9	wizard guild workshop	33% beside herbs
9	9	wizard workshop	33% beside herbs
9	9	wizardguild	89% beside herbs
8	8	bard guild guildmaster	12% beside herbs
8	8	bard guild shop	0% beside herbs
8	1	downy skullcap	0% beside herbs
8	1	orange-yellow chamomile	0% beside herbs
8	8	premium teleportation jewelry	75% beside herbs
8	8	ranger guild guildmaster	12% beside herbs
8	8	rogue guild bar	0% beside herbs
8	8	rogue guild table	0% beside herbs
8	8	silver-cost:32928:25000	62% beside herbs
8	8	summoning chamber	0% beside herbs
8	8	urchin guide clericguild	75% beside herbs
8	8	urchin guide cobbling	50% beside herbs
8	8	urchin guide grocer	50% beside herbs
8	8	urchin guide temple	62% beside herbs
8	8	urchin guide wizardguild	88% beside herbs
8	7	voln	75% beside herbs
8	6	warrior guild snacks	0% beside herbs
7	7	boatswain	86% beside herbs
7	7	cleric guild shop	14% beside herbs
7	7	debt	43% beside herbs
7	1	enemy carrack	0% beside herbs
7	1	enemy galleon	0% beside herbs
7	7	ranger shack	57% beside herbs
7	6	rogue guild trainer	0% beside herbs
7	7	silver-cost:1870:25000	43% beside herbs
7	7	silver-cost:29033:25000	43% beside herbs
7	7	silver-cost:31493:35000	57% beside herbs
7	7	silver-cost:32372:25000	57% beside herbs
7	7	sorcerer guild node	14% beside herbs
7	7	sorcerer guild shop	0% beside herbs
7	7	sorcerer guild workshop	0% beside herbs
7	6	travel office	29% beside herbs
6	6	citizenship	50% beside herbs
6	1	cysaegir public locker	83% beside herbs
6	1	enemy brigantine	0% beside herbs
6	1	enemy frigate	0% beside herbs
6	6	firewood	17% beside herbs
6	6	fshop	0% beside herbs
6	6	healer	33% beside herbs
6	4	omnishrine	33% beside herbs
6	6	silver-cost:10838:25000	50% beside herbs
6	2	white mullein blossom	33% beside herbs
6	1	white willow bark	33% beside herbs
5	5	advguard2	40% beside herbs
5	2	brigatta locker	0% beside herbs
5	5	citizen lounge	0% beside herbs
5	1	enemy sloop	0% beside herbs
5	5	rogue guild hardlock	40% beside herbs
5	5	silver-cost:11756:12500	40% beside herbs
5	5	wagon	80% beside herbs
4	4	advguard3	50% beside herbs
4	4	cleric shop	50% beside herbs
4	4	dock handler	75% beside herbs
4	1	gate	0% beside herbs
4	2	locker:twilighthall	0% beside herbs
4	3	ronan	50% beside herbs
4	3	sglocker	0% beside herbs
4	4	silver-cost:250:25000	75% beside herbs
4	4	smokeshop	25% beside herbs
4	1	warrior guild bush	0% beside herbs
4	4	warrior guild sheet metal	25% beside herbs
4	2	yellow sorrel sprig	0% beside herbs
3	1	caravan	67% beside herbs
3	3	citizen	33% beside herbs
3	2	firebird	67% beside herbs
3	1	icicle	33% beside herbs
3	2	lockerentrance:twilighthall	0% beside herbs
3	3	locus	0% beside herbs
3	3	silver-cost:11756:25000	67% beside herbs
3	3	trove	0% beside herbs
2	0	Poisoned Heretic	0% beside herbs
2	1	Silent Investor	0% beside herbs
2	1	altar	50% beside herbs
2	2	antimagic	100% beside herbs
2	1	arctic puma	50% beside herbs
2	2	arena	0% beside herbs
2	2	artificer	50% beside herbs
2	2	bakery	50% beside herbs
2	1	blush white hollyhock	0% beside herbs
2	2	boot	100% beside herbs
2	2	boutique	50% beside herbs
2	1	chocolate-red hollyhock	0% beside herbs
2	1	cleo	50% beside herbs
2	1	cleodelia	50% beside herbs
2	2	clothier	0% beside herbs
2	2	colgifts	0% beside herbs
2	2	colinquisitor	0% beside herbs
2	2	colpoohbah	0% beside herbs
2	2	colservices	0% beside herbs
2	2	coltaskmaster	0% beside herbs
2	2	commons	50% beside herbs
2	2	duplicate	0% beside herbs
2	1	ebon hollyhock	0% beside herbs
2	2	eonak	0% beside herbs
2	1	foe:minotaur magus	100% beside herbs
2	2	fusion	0% beside herbs
2	2	gosaena	0% beside herbs
2	1	green gingko leaf	0% beside herbs
2	1	khy	0% beside herbs
2	1	khylynnia	0% beside herbs
2	2	koar	50% beside herbs
2	1	leafi	0% beside herbs
2	1	leafiara	0% beside herbs
2	2	leya	50% beside herbs
2	2	locker:beaconhall	0% beside herbs
2	2	map:samepath:southeast,northeast	50% beside herbs
2	1	mapdb:fixme	0% beside herbs
2	2	marlu	50% beside herbs
2	2	mount:return	100% beside herbs
2	1	moved	0% beside herbs
2	2	necropolis	0% beside herbs
2	1	niveous hollyhock	0% beside herbs
2	1	oxblood naefira	0% beside herbs
2	1	pale violet hollyhock	0% beside herbs
2	1	paupers locker	0% beside herbs
2	2	pawn shop	0% beside herbs
2	1	peer down =~ /Obvious exits: down/	100% beside herbs
2	2	peer up =~ /^Obvious exits: up, down/	0% beside herbs
2	2	permifier	0% beside herbs
2	2	phoen	0% beside herbs
2	1	plum wood rose	0% beside herbs
2	2	public lockers	50% beside herbs
2	1	quarters	100% beside herbs
2	2	reddish black direbloom	0% beside herbs
2	1	resaeun bark	0% beside herbs
2	2	rogue guild hardlock:door	50% beside herbs
2	2	rogue workshop	0% beside herbs
2	2	saffron ginger root	0% beside herbs
2	2	sanctum	50% beside herbs
2	1	selema	0% beside herbs
2	2	ship broker	100% beside herbs
2	2	shipbroker	100% beside herbs
2	2	shovels	0% beside herbs
2	2	silver-cost:17645:500	0% beside herbs
2	2	silver-cost:250:35000	50% beside herbs
2	1	silver-cost:25145:3000	50% beside herbs
2	2	silver-cost:29860:3000	100% beside herbs
2	1	silvergate locker	0% beside herbs
2	2	smithy	0% beside herbs
2	1	sunny yellow hollyhock	0% beside herbs
2	2	sylinar	0% beside herbs
2	2	tilamaire	0% beside herbs
2	2	traveler	0% beside herbs
2	1	trove 5	0% beside herbs
2	2	twilight locker	0% beside herbs
2	2	urchin guide boatswain	50% beside herbs
2	2	urchin guide commons	50% beside herbs
2	2	urchin guide gate	100% beside herbs
2	2	urchin guide osatask	50% beside herbs
2	2	urchin guide star	100% beside herbs
2	2	urchin guide westgate	100% beside herbs
2	2	v'tull	0% beside herbs
2	2	voln grandmaster	0% beside herbs
2	2	voln master hall	0% beside herbs
2	2	voln meditation chamber	0% beside herbs
2	1	warcats	50% beside herbs
2	2	warrior guild crates	50% beside herbs
2	2	warrior guild shop	0% beside herbs
2	2	westgate	100% beside herbs
2	2	zelia	0% beside herbs
1	1	Alouetta	0% beside herbs
1	1	Aramund	100% beside herbs
1	1	Arkati	0% beside herbs
1	1	BRS	100% beside herbs
1	1	Conundrum	0% beside herbs
1	1	Emberstone	0% beside herbs
1	1	Gemaneen	0% beside herbs
1	1	Icemule Trace empath alchemy shop	0% beside herbs
1	1	Icemule cleric alchemy shop	0% beside herbs
1	1	Icemule empath guild entrance	100% beside herbs
1	1	Icemule sorcerer alchemy shop	0% beside herbs
1	1	Icemule wizard alchemy shop	0% beside herbs
1	1	Ilyra	100% beside herbs
1	1	Jaired	0% beside herbs
1	1	Jaired's	0% beside herbs
1	1	Keh'nira Fyr'sah	100% beside herbs
1	1	Khy	0% beside herbs
1	1	Khylynnia	0% beside herbs
1	1	LDI	100% beside herbs
1	1	Leya	100% beside herbs
1	1	Luthrek	100% beside herbs
1	1	Mania	0% beside herbs
1	1	Mist Harbor cleric alchemy shop	0% beside herbs
1	1	Mist Harbor empath alchemy shop	0% beside herbs
1	0	Node	0% beside herbs
1	1	River's Rest cleric alchemy shop	0% beside herbs
1	1	River's Rest empath alchemy shop	0% beside herbs
1	1	River's Rest wizard alchemy shop	0% beside herbs
1	1	Rivers Rest sorcerer alchemy shop	0% beside herbs
1	1	Sadie	0% beside herbs
1	0	Sanctuary	0% beside herbs
1	1	Solhaven cleric alchemy shop	0% beside herbs
1	1	Solhaven empath alchemy shop	0% beside herbs
1	1	Solhaven sorcerer alchemy shop	0% beside herbs
1	1	Sorcerer Guild	0% beside herbs
1	1	Ta'Illistim cleric alchemy shop	0% beside herbs
1	1	Ta'Illistim empath alchemy shop	0% beside herbs
1	1	Ta'Illistim sorcerer alchemy shop	0% beside herbs
1	1	Ta'Illistim wizard alchemy shop	0% beside herbs
1	1	Ta'Vaalor cleric alchemy shop	0% beside herbs
1	1	Ta'Vaalor empath alchemy shop	0% beside herbs
1	1	Ta'Vaalor wizard alchemy shop	0% beside herbs
1	1	Teras empath alchemy shop	0% beside herbs
1	1	Wehnimer's Landing cleric alchemy shop	0% beside herbs
1	1	Wehnimer's Landing empath alchemy shop	0% beside herbs
1	1	Wehnimer's Landing general store	100% beside herbs
1	1	Wehnimer's Landing wizard alchemy shop	0% beside herbs
1	1	Whirlin	0% beside herbs
1	1	WillowHall	0% beside herbs
1	1	Willowhall	0% beside herbs
1	1	Wyromania	0% beside herbs
1	1	Zephyra Wilds	0% beside herbs
1	1	Zul Logoth cleric alchemy shop	0% beside herbs
1	1	Zul Logoth empath alchemy shop	0% beside herbs
1	1	Zul Logoth sorcerer alchemy shop	0% beside herbs
1	1	Zul Logoth wizard alchemy shop	100% beside herbs
1	1	achemist	100% beside herbs
1	1	advhead	100% beside herbs
1	1	agora	100% beside herbs
1	1	agora entry	100% beside herbs
1	1	agora promenade	100% beside herbs
1	1	alchemsit	0% beside herbs
1	1	alex workshop	0% beside herbs
1	1	altar of wind	100% beside herbs
1	1	amaranthgate	100% beside herbs
1	1	amasalen	0% beside herbs
1	1	andelas	0% beside herbs
1	1	annattogate	100% beside herbs
1	1	annex	0% beside herbs
1	1	aota	0% beside herbs
1	1	apothecarium	100% beside herbs
1	1	arachne	0% beside herbs
1	1	arakhor estate	100% beside herbs
1	1	arakhor estate ballroom	100% beside herbs
1	1	arakhor estate bedroom	0% beside herbs
1	1	arakhor estate deck	100% beside herbs
1	1	arakhor estate parlour	100% beside herbs
1	1	arakhor estate workshop	0% beside herbs
1	1	aramund	0% beside herbs
1	1	arcane	100% beside herbs
1	1	arcane masters	100% beside herbs
1	1	arena:team	0% beside herbs
1	1	arkati	0% beside herbs
1	1	armory	0% beside herbs
1	1	arrivals	100% beside herbs
1	0	assassin	0% beside herbs
1	1	atoll barrier	100% beside herbs
1	1	atoll black crystal	100% beside herbs
1	1	atoll blue crystal	100% beside herbs
1	1	atoll red crystal	100% beside herbs
1	1	atoll yellow crystal	100% beside herbs
1	1	aurora light	100% beside herbs
1	1	aurora light bedroom	100% beside herbs
1	1	aurora light loft	100% beside herbs
1	1	aurora light node	100% beside herbs
1	1	aurora light pasture	100% beside herbs
1	1	aurora light stables	100% beside herbs
1	1	aurora light stables 2	100% beside herbs
1	1	aurora's light	100% beside herbs
1	1	aurora's light bedroom	100% beside herbs
1	1	aurora's light loft	100% beside herbs
1	1	aurora's light node	100% beside herbs
1	1	aurora's light pasture	100% beside herbs
1	1	aurora's light stables	100% beside herbs
1	1	aurora's light stables 2	100% beside herbs
1	1	auto-flarer	0% beside herbs
1	1	autoflarer	0% beside herbs
1	1	ayaa	0% beside herbs
1	1	ballista	0% beside herbs
1	1	bandit	0% beside herbs
1	1	barkeep	100% beside herbs
1	1	barracks	0% beside herbs
1	1	barrister	0% beside herbs
1	1	bastion	0% beside herbs
1	1	bath	0% beside herbs
1	1	bathhouse	0% beside herbs
1	1	bcourtyard	0% beside herbs
1	1	beach	100% beside herbs
1	1	beldrins	100% beside herbs
1	1	bericsaba	0% beside herbs
1	1	bloodhenge	0% beside herbs
1	1	bmarket	0% beside herbs
1	1	board	100% beside herbs
1	1	boats	100% beside herbs
1	1	brigatta	100% beside herbs
1	1	brigatta tables	0% beside herbs
1	1	brigatta workshop	0% beside herbs
1	1	britbane	0% beside herbs
1	1	bruise-colored woundwort	0% beside herbs
1	1	cages	100% beside herbs
1	1	cannon	100% beside herbs
1	1	cannons	100% beside herbs
1	1	captains	100% beside herbs
1	1	cargo	100% beside herbs
1	1	carving	100% beside herbs
1	1	carvings	100% beside herbs
1	1	castle library	0% beside herbs
1	1	cave	100% beside herbs
1	1	ccf	100% beside herbs
1	1	ccf:2018	100% beside herbs
1	1	chancel	0% beside herbs
1	1	charl	0% beside herbs
1	1	cheap seats	0% beside herbs
1	1	cheapseats	0% beside herbs
1	1	cheprize	0% beside herbs
1	1	cheshops	0% beside herbs
1	1	cholen	0% beside herbs
1	1	chum	0% beside herbs
1	1	citygate	100% beside herbs
1	1	clairette	0% beside herbs
1	1	cleo's	0% beside herbs
1	1	cleos	0% beside herbs
1	1	cobblers	100% beside herbs
1	1	col	0% beside herbs
1	1	col taskmaster	0% beside herbs
1	1	colosseum	0% beside herbs
1	1	common	100% beside herbs
1	1	constable	0% beside herbs
1	1	conundrum	0% beside herbs
1	1	council of light	0% beside herbs
1	1	courtyard	0% beside herbs
1	1	crew	100% beside herbs
1	1	crewquarters	100% beside herbs
1	1	dabbler	0% beside herbs
1	1	dais	100% beside herbs
1	1	debt collector	0% beside herbs
1	1	debtcollector	0% beside herbs
1	1	departures	100% beside herbs
1	1	dice	100% beside herbs
1	1	diriko	0% beside herbs
1	1	dock	100% beside herbs
1	1	docks	100% beside herbs
1	1	dr sewer	0% beside herbs
1	1	drafix	0% beside herbs
1	1	dummy	0% beside herbs
1	1	duskruin:smithy	0% beside herbs
1	1	eastcart	0% beside herbs
1	1	eastgate	100% beside herbs
1	1	easttower	100% beside herbs
1	1	eboard	0% beside herbs
1	1	echo of volgust	100% beside herbs
1	1	eg	0% beside herbs
1	1	endlesswall	0% beside herbs
1	1	endwall	0% beside herbs
1	1	enhancive swap	0% beside herbs
1	1	eorgina	0% beside herbs
1	1	epilogue	100% beside herbs
1	1	fash'lo'nae	0% beside herbs
1	1	fcentral	0% beside herbs
1	1	festival of lumnea	0% beside herbs
1	1	figurehead	100% beside herbs
1	1	firepit	100% beside herbs
1	1	fishing gear	0% beside herbs
1	1	fishing2	100% beside herbs
1	1	fishing3	100% beside herbs
1	1	fishing4	100% beside herbs
1	1	flag	100% beside herbs
1	1	flare tokens	0% beside herbs
1	1	flares	0% beside herbs
1	1	foxhunt	0% beside herbs
1	1	friths	100% beside herbs
1	1	front desk	0% beside herbs
1	1	fwi festival	0% beside herbs
1	1	fwi:bank	0% beside herbs
1	1	fwifestival	100% beside herbs
1	1	gem	0% beside herbs
1	1	gem shop	0% beside herbs
1	1	gemaneen	0% beside herbs
1	1	ghia	0% beside herbs
1	1	ghianna	0% beside herbs
1	1	ghoul	0% beside herbs
1	1	giantphang	0% beside herbs
1	1	gladiator	0% beside herbs
1	1	goldenhelm	100% beside herbs
1	1	gp	0% beside herbs
1	1	grand auction	0% beside herbs
1	1	grand inquisitor	0% beside herbs
1	1	grandmaster	0% beside herbs
1	0	grumpy hermit	0% beside herbs
1	1	helden	100% beside herbs
1	1	helden hall	100% beside herbs
1	1	herb hunt	0% beside herbs
1	1	herbalist2	0% beside herbs
1	1	herbhunt	0% beside herbs
1	1	hess	0% beside herbs
1	1	hot spring	0% beside herbs
1	1	hot springs	0% beside herbs
1	1	hotel	0% beside herbs
1	1	house arcane	100% beside herbs
1	1	house of paupers	100% beside herbs
1	1	house phoenix	100% beside herbs
1	1	house sovyn	100% beside herbs
1	1	house sylvanfair	100% beside herbs
1	1	hull	100% beside herbs
1	1	huntress	0% beside herbs
1	1	hut	100% beside herbs
1	1	hut of bones	0% beside herbs
1	1	idol	100% beside herbs
1	1	ignis workshop	0% beside herbs
1	1	imaera	0% beside herbs
1	1	incanter	0% beside herbs
1	1	investor	0% beside herbs
1	1	invoker	0% beside herbs
1	1	ivas	0% beside herbs
1	1	jahadeem	0% beside herbs
1	1	jastev	0% beside herbs
1	1	jaston	0% beside herbs
1	1	jouster	0% beside herbs
1	1	kai	0% beside herbs
1	1	kaldonis	0% beside herbs
1	1	kingscourt	100% beside herbs
1	1	kobold shaman	100% beside herbs
1	1	krinchat	0% beside herbs
1	1	kuon	0% beside herbs
1	1	laethe	0% beside herbs
1	1	lelqui	0% beside herbs
1	1	library	0% beside herbs
1	1	lichyard	0% beside herbs
1	1	lighthouse	0% beside herbs
1	1	live games	0% beside herbs
1	1	livegames	0% beside herbs
1	1	loci	0% beside herbs
1	1	lockers	0% beside herbs
1	1	lockpick:door:-125	100% beside herbs
1	1	locksmith-pool	100% beside herbs
1	1	lodge	0% beside herbs
1	1	lorminstra	0% beside herbs
1	1	lorn	0% beside herbs
1	1	lornieh	0% beside herbs
1	1	losthome	100% beside herbs
1	1	lounge	0% beside herbs
1	1	lumnea	0% beside herbs
1	1	lumnis	0% beside herbs
1	1	luukos	100% beside herbs
1	1	lyrna	0% beside herbs
1	1	mairiseth	0% beside herbs
1	1	mairiseth telearat	0% beside herbs
1	1	maithlea	0% beside herbs
1	1	malwith	0% beside herbs
1	1	mana trawl	0% beside herbs
1	1	mania	0% beside herbs
1	1	map:samepath:east,down	100% beside herbs
1	1	map:samepath:east,northwest	100% beside herbs
1	1	map:samepath:east,south,north	100% beside herbs
1	1	map:samepath:east,southeast	100% beside herbs
1	1	map:samepath:east,west	0% beside herbs
1	1	map:samepath:north,northeast,east,southeast,south,southwest,west,northwest,up,down,out	0% beside herbs
1	1	map:samepath:north,northwest,northeast	100% beside herbs
1	1	map:samepath:north,south	100% beside herbs
1	1	map:samepath:northeast,northwest	0% beside herbs
1	1	map:samepath:northwest,southeast	0% beside herbs
1	1	map:samepath:southeast,east	0% beside herbs
1	1	map:samepath:southeast,northeast,southwest,west	100% beside herbs
1	1	map:samepath:southwest,northwest	0% beside herbs
1	1	map:samepath:southwest,southeast	0% beside herbs
1	1	map:samepath:west,south,north,northwest,southwest	100% beside herbs
1	1	map:samepath:west,southeast,southwest	100% beside herbs
1	1	map:samepath:west,southwest,south	100% beside herbs
1	1	maraene	0% beside herbs
1	1	marauder	0% beside herbs
1	1	marketbridge	100% beside herbs
