room_id	uids	title	location	region	region_src	area	area_src	status	event	sense	doors
18	13100075	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
19	13100074	[Ta'Illistim, Sylvar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
20	13100051	[Ta'Illistim, Glamesine Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
21	13100050	[Ta'Illistim, Glamesine Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
22	13100048	[Ta'Illistim, Glamesine Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
23	13100047	[Ta'Illistim, Glamesine Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
24	13100027	[Ta'Illistim, Glaendier Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
25	13100028	[Ta'Illistim, Glaendier Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
26	13100029	[Ta'Illistim, Glaendier Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
27	13100030	[Ta'Illistim, Shimmarglin Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
28	13100031	[Ta'Illistim, Shimmarglin Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
29	13100018	[Ta'Illistim, Shimmarglin Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
30	13100010	[Ta'Illistim, Stearriza Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
31	13100009	[Ta'Illistim, Mzaarine Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
32	13100008	[Ta'Illistim, Mzaarine Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
33	13100007	[Ta'Illistim, Mzaarine Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
34	13100006	[Ta'Illistim, Mzaarine Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
35	13100005	[Ta'Illistim, Sapphire Gate]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
36	13100004	[Ta'Illistim, Gateyard]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
37	13100001	[Ta'Illistim, City Gate]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
38	13017100	[Ta'Illistim, Inner Portcullis]	Whistler's Pass	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
39	13017099	[Ta'Illistim, Portcullis Tunnel]	Whistler's Pass	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
40	13017098	[Ta'Illistim, Portcullis Tunnel]	Whistler's Pass	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
41	13017097	[Ta'Illistim, City Gate]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	1
42	13017096	[Whistler's Pass, Road]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
43	13017095	[Whistler's Pass, Road]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	1
44	13017094	[Whistler's Pass, Road]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
45	13017093	[Whistler's Pass, Road]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
46	13017092	[Whistler's Pass, Road]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
47	13017091	[Whistler's Pass, Road]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
48	13017090	[Whistler's Pass, Trail]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
49	13017089	[Whistler's Pass, Trail]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
50	13017088	[Whistler's Pass, Trail]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
51	13017087	[Whistler's Pass, Trail]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
52	13017086	[Whistler's Pass, Meadow]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	1
53	13017085	[Whistler's Pass, Meadow]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	1
54	13017084	[Whistler's Pass, Forest]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	2
55	13017083	[Whistler's Pass, Forest]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
56	13017082	[Whistler's Pass, Forest]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
57	13017081	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
58	13017080	[Whistler's Pass, Field]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
59	13017079	[Whistler's Pass, Field]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
60	13017078	[Whistler's Pass, Field]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
61	13017077	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
62	13017076	[Whistler's Pass, Marsh]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
63	13017075	[Whistler's Pass, Marsh]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
64	13017074	[Whistler's Pass, Marsh]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
65	13017073	[Whistler's Pass, Marsh]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
66	13017072	[Whistler's Pass, Grove]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
67	13017071	[Whistler's Pass, Marsh]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
68	13017070	[Whistler's Pass, Hill]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
69	13017069	[Whistler's Pass, Bridge]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
70	13017068	[Whistler's Pass, Iron Bridge]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	2
71	13017067	[Whistler's Pass, Bridges]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	1
72	13017066	[Whistler's Pass, Stone Bridge]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	2
73	13017065	[Whistler's Pass, Bridge]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
74	13017064	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
75	13017063	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
76	13017062	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
77	13017061	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
78	13017060	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
79	13017059	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
80	13017058	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
81	13017057	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
82	13017056	[Whistler's Pass, Hills]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
83	13017055	[Whistler's Pass, Clearing]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
84	13017054	[Whistler's Pass, Trail]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	0
85	13017053	[Whistler's Pass, Trail]	Whistler's Pass	Ta'Illistim	mapdb	elven-nations-sapphire-gate-and-whistlers-pass-north	official layout	live		outdoor	1
86	13301333	[Emerald Forest, Beech Grove]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	1
87	13301332	[Emerald Forest, Peat Bog]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
88	13301328	[Emerald Forest, Peat Bog]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
89	13301322	[Emerald Forest, Peat Bog]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
90	13301319	[Emerald Forest, Stream]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
91	13301316	[Emerald Forest, Stream]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
92	13301314	[Emerald Forest, Stream]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
93	13301311	[Emerald Forest, Stream]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
94	13301306	[Emerald Forest, Bracken]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
95	13301301	[Emerald Forest, Junction]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
96	13301228	[Gorget Trails, Foothills]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
97	13301227	[Gorget Trails, Foothills]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
98	13301226	[Gorget Trails, West Switchback]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
99	13301222	[Gorget Trails, West Switchback]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
100	13301217	[Gorget Trails, West Switchback]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
101	13301216	[Gorget Trails, West Switchback]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
102	13301210	[Gorget Trails, West Cliff Face]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
103	13301203	[Gorget Trails, West Cliff Face]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
104	13301201	[Gorget Trails, West Cliff Face]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
105	13301175	[Masked Hills, Hairline Ridge]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
106	13301174	[Masked Hills, Hairline Ridge]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
107	13301173	[Masked Hills, Hairline Ridge]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
108	13301172	[Masked Hills, Hairline Ridge]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
109	13301171	[Masked Hills, Hairline Ridge]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
110	13300032	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
111	13300031	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
112	13300030	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
113	13300029	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
114	13300028	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
115	13300027	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
116	13300026	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
117	13300025	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
118	13300024	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
119	13300023	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
120	13300022	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	1
121	13300021	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
122	13300020	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
123	13300019	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
124	13300018	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
125	13300017	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
126	13300016	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
127	13300015	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
128	13300014	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
129	13300013	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
130	13300012	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
131	13300011	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
132	13300010	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
133	13300009	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
134	13300008	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
135	13300007	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
136	13300006	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
137	13300005	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
138	13300004	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
139	13300003	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
140	13300002	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
141	13300001	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
142	13300036	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
143	13300035	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
144	13300034	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
145	13300033	[Temple Wyneb, Calvaria]	Temple Wyneb	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		indoor	0
146	13107013	[Moonglae Inn, Kitchen]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	1
147	13107405	[Jastev's Crystal Table]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	0
148	13107403	[Mistress of Adoration Table]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	0
149	4209026	[Solhaven, Triton Road]	the free port of Solhaven	Solhaven / Vornavis	mapdb	vornavis-solhaven-town	official layout	live		outdoor	1
150	4209009	[Solhaven, Bayside Road]	the free port of Solhaven	Solhaven / Vornavis	mapdb	vornavis-solhaven-town	official layout	live		outdoor	3
151	4214317	[Vornavian Coast, Foggy Valley]	the Vornavian Coast	Solhaven / Vornavis	mapdb	vornavis-foggy-valley	official layout	live		outdoor	0
152		[Cairnfang Manor, Garden]	Solhaven	Solhaven / Vornavis	inferred			live		outdoor	2
153	4214112	[Vornavian Coast, Pine Forest]	the Vornavian Coast	Solhaven / Vornavis	mapdb	vornavis-foggy-valley	official layout	live		outdoor	0
154		[Cairnfang Manor, Gazebo]	Solhaven	Solhaven / Vornavis	inferred			live		indoor	0
155	13101022	[Ta'Illistim, BriarStone Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
156	13101024	[Ta'Illistim, BriarStone Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
157	13101015	[Ta'Illistim, BriarStone Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
158	13101014	[Ta'Illistim, BriarStone Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
159	13101013	[Ta'Illistim, BriarStone Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
160	13101012	[Ta'Illistim, BriarStone Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
161	13101008	[Ta'Illistim, BriarStone Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
162	13101007	[Ta'Illistim, Vaeshean Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
163	13101006	[Ta'Illistim, Vaeshean Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
164	13101003	[Ta'Illistim, Vaeshean Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
165	13101002	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
166	13101001	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
167	13100100	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
168	13100099	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
169	13100098	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
170	13100095	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
171	13100094	[Ta'Illistim, Kaerinar Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	2
172	13100093	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
173	13100026	[Ta'Illistim, Glaendier Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
174	13100025	[Ta'Illistim, Glaendier Wey]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
175	13100024	[Ta'Illistim, Ellaerin Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
176	13100023	[Ta'Illistim, Ellaerin Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
177	13100022	[Ta'Illistim, Ellaerin Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
178	13100021	[Ta'Illistim, Ellaerin Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
179	13100020	[Ta'Illistim, Ellaerin Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
180	13100019	[Ta'Illistim, Stearriza Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
181	13100013	[Ta'Illistim, Stearriza Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
182	13100012	[Ta'Illistim, Stearriza Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	2
183	13100011	[Ta'Illistim, Stearriza Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
184	13100043	[Ta'Illistim, Shimmarglin Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
185	13100044	[Ta'Illistim, Shimmarglin Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
186	13100045	[Ta'Illistim, Shimmarglin Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
187	13100046	[Ta'Illistim, Shimmarglin Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	2
188	13100042	[Ta'Illistim, Hanging Gardens]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	7
189	13301207	[Gorget Trails, West Cliff Face]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
190	13301204	[Gorget Trails, West Cliff Face]	the Emerald Forest	Ta'Illistim	mapdb	elven-nations-skull-temple	official layout	live		outdoor	0
191	13100081	[Ta'Illistim, Fraendel Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
192	13100080	[Ta'Illistim, Fraendel Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
