room_id	want	title	near	reach_via	uid
25576	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25555) reverse of Command("southwest")	no-uid
25577	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25573) reverse of Command("southwest")	
25578	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25574) reverse of Command("south")	
15621	location	[Kimbalkinnison's Magic Shoppe]	Icemule Trace	from RoomId(3444) reverse of Command("out")	no-uid
15632	location	[Airend's Magic Shoppe]	Icemule Trace	from RoomId(15630) reverse of Command("west")	no-uid
15635	location	[Sauthurdig's Magic Shoppe]	Icemule Trace	from RoomId(15634) reverse of Command("west")	no-uid
15636	location	[Sauthurdig's Magic Shoppe]	Icemule Trace	from RoomId(15634) reverse of Command("southwest")	no-uid
15637	location	[Xiandrena's Outfitting]	Icemule Trace	from RoomId(3446) reverse of Command("out")	no-uid
15641	location	[Vrinmyst's General Store]	Icemule Trace	from RoomId(3447) reverse of Command("out")	no-uid
15661	location	[Falcons' Combat Gear]	Icemule Trace	from RoomId(15659) reverse of Command("south")	no-uid
15677	location	[Myrinnea's Weaponry]	Icemule Trace	from RoomId(3439) reverse of Command("out")	no-uid
15681	location	[Rykana's General Store]	Icemule Trace	from RoomId(3440) reverse of Command("out")	no-uid
15682	location	[Rhandi's Weaponry]	Icemule Trace	from RoomId(3440) reverse of Command("out")	no-uid
15709	location	[Lyzzi's Outfitting]	Icemule Trace	from RoomId(2310) reverse of Command("out")	no-uid
15715	location	[Gallaris' General Store]	Icemule Trace	from RoomId(2311) reverse of Command("out")	no-uid
15719	location	[Lynarie's Outfitting]	Icemule Trace	from RoomId(2312) reverse of Command("out")	no-uid
15725	location	[Moirsedai's Weaponry]	Icemule Trace	from RoomId(2314) reverse of Command("out")	no-uid
15728	location	[Megaira's Outfitting]	Icemule Trace	from RoomId(2314) reverse of Command("out")	no-uid
15731	location	[Ahvahna's Weaponry]	Icemule Trace	from RoomId(2315) reverse of Command("out")	no-uid
15734	location	[Sacha's Magic Shoppe]	Icemule Trace	from RoomId(2315) reverse of Command("out")	no-uid
15740	location	[Junarra's Magic Shoppe]	Icemule Trace	from RoomId(2316) reverse of Command("out")	no-uid
15800	verify-location	[Bard Guild, Auditorium]	Icemule Trace	from RoomId(15696) reverse of Command("go doors")	
15828	location	[Jerlon's Weaponry]	Icemule Trace	from RoomId(2379) reverse of Command("out")	no-uid
15829	location	[Jesperus' Weaponry]	Icemule Trace	from RoomId(2379) reverse of Command("out")	no-uid
15834	location	[Kenjutsu's Outfitting]	Icemule Trace	from RoomId(2377) reverse of Command("out")	no-uid
15837	location	[Diablic's Magic Shoppe]	Icemule Trace	from RoomId(2377) reverse of Command("out")	no-uid
15841	location	[Ashlily's Outfitting]	Icemule Trace	from RoomId(2376) reverse of Command("out")	no-uid
15867	location	[Vistara's Outfitting]	Icemule Trace	from RoomId(2372) reverse of Command("out")	no-uid
15868	location	[Glycn's Magic Shoppe]	Icemule Trace	from RoomId(2372) reverse of Command("out")	no-uid
17693	verify-location	[A Derelict Hovel]	Icemule Trace	RoomId(3356) Command("go hovel")	no-uid
18601	verify-location	[Cleric Guild, Training Annex]	Icemule Trace	from RoomId(18650) reverse of Command("east")	
18618	verify-location	[Cleric Guild, Cauldrons]	Icemule Trace	from RoomId(18666) reverse of Command("south")	
18726	verify-location	[Wizard Guild, Cauldron]	Icemule Trace	from RoomId(8929) reverse of Command("out")	
18727	verify-location	[Cleric Guild, Cauldron]	Icemule Trace	from RoomId(18618) reverse of Command("out")	
19431	verify-location	[Empath Guild, Cauldrons]	Icemule Trace	from RoomId(19429) reverse of Command("south")	
19432	verify-location	[Empath Guild, Cauldron]	Icemule Trace	from RoomId(19431) reverse of Command("out")	
2333	location	[House of Serenity]	Icemule Trace	from RoomId(2325) reverse of Command("go walk")	no-uid
2453	location	[A Cozy Cottage]	Icemule Trace	from RoomId(2452) reverse of Command("go door")	no-uid
2485	location	[Clovertooth Hall, Locker Booth]	Icemule Trace	from RoomId(2440) reverse of Steps([Step { action: TryMove("go curtain"), when: None }, Step { action: Put("close locker"), when: Some(StillHere) }, Step { action: Move("go curtain"), when: Some(StillHere) }, Step { action: Replan, when: None }])	no-uid
3037	location	[Icemule Trace, Exterior]	Icemule Trace	from RoomId(3038) reverse of Command("south")	no-uid
3548	location	[Aralynn's Outfitting]	Icemule Trace	from RoomId(3439) reverse of Command("out")	no-uid
3634	location	[Tolli's Tree, Office]	Icemule Trace	from RoomId(2428) reverse of Command("out")	no-uid
14734	location	[Phaythe's Weaponry]	Kharam-Dzu	from RoomId(1973) reverse of Command("out")	no-uid
14742	location	[Durgrimst's General Store]	Kharam-Dzu	from RoomId(1974) reverse of Command("out")	no-uid
14753	location	[Khistian's Magic Shoppe]	Kharam-Dzu	from RoomId(1975) reverse of Command("out")	no-uid
14754	location	[Mumblz's Outfitting]	Kharam-Dzu	from RoomId(1975) reverse of Command("out")	no-uid
14755	location	[Odysia's Outfitting]	Kharam-Dzu	from RoomId(1975) reverse of Command("out")	no-uid
14761	location	[Sahreet's Outfitting]	Kharam-Dzu	from RoomId(1976) reverse of Command("out")	no-uid
14763	location	[Sadrae's General Store]	Kharam-Dzu	from RoomId(1976) reverse of Command("out")	no-uid
14770	location	[Orpius' Outfitting]	Kharam-Dzu	from RoomId(1977) reverse of Command("out")	no-uid
17326	location	[Kyal's General Store]	Kharam-Dzu	from RoomId(1975) reverse of Command("out")	no-uid
19015	verify-location	[Sorcerer Guild, Arcane Studies]	Kharam-Dzu	from RoomId(19013) reverse of Command("go door")	
19017	verify-location	[Sorcerer Guild, Cauldrons]	Kharam-Dzu	from RoomId(19013) reverse of Command("north")	
19018	verify-location	[Sorcerer Guild, Cauldron]	Kharam-Dzu	from RoomId(19017) reverse of Command("out")	
20044	verify-location	[Cleric Guild, Cauldrons]	Kharam-Dzu	from RoomId(20042) reverse of Command("south")	
20045	verify-location	[Cleric Guild, Cauldron]	Kharam-Dzu	from RoomId(20044) reverse of Command("out")	
20883	verify-location	[Wizard Guild, Cauldron]	Kharam-Dzu	from RoomId(18082) reverse of Command("out")	
22223	verify-location	[Officers' Prize Closet]	Maelstrom Bay	from RoomId(16202) reverse of Command("out")	no-uid
16348	location	[Brimzstone's Outfitting]	Mist Harbor	from RoomId(12273) reverse of Command("out")	no-uid
16362	location	[Terrangil's Outfitting]	Mist Harbor	from RoomId(12272) reverse of Command("out")	no-uid
16384	location	[Gibreficul's General Store]	Mist Harbor	from RoomId(16539) reverse of Command("southeast")	no-uid
16479	location	[Chellsie's Outfitting]	Mist Harbor	from RoomId(3869) reverse of Command("out")	no-uid
16501	location	[Melisani's Outfitting]	Mist Harbor	from RoomId(3872) reverse of Command("out")	no-uid
16503	location	[Joyau's Outfitting]	Mist Harbor	from RoomId(3872) reverse of Command("out")	no-uid
16514	location	[Kaithairenne's General Store]	Mist Harbor	from RoomId(12264) reverse of Command("out")	no-uid
16519	location	[Silverphenix's Magic Shoppe]	Mist Harbor	from RoomId(12263) reverse of Command("out")	no-uid
16530	location	[Shazarian's Magic Shoppe]	Mist Harbor	from RoomId(12262) reverse of Command("out")	no-uid
16535	location	[Shawne's Weaponry]	Mist Harbor	from RoomId(12267) reverse of Command("out")	no-uid
16541	location	[Aevial's Outfitting]	Mist Harbor	from RoomId(12268) reverse of Command("out")	no-uid
16544	location	[Rianon's Weaponry]	Mist Harbor	from RoomId(12268) reverse of Command("out")	no-uid
16552	location	[Iluna's Weaponry]	Mist Harbor	from RoomId(12270) reverse of Command("out")	no-uid
16556	location	[Jenieca's Magic Shoppe]	Mist Harbor	from RoomId(12270) reverse of Command("out")	no-uid
16559	location	[Calypsia's Weaponry]	Mist Harbor	from RoomId(12271) reverse of Command("out")	no-uid
16562	location	[Magora's Outfitting]	Mist Harbor	from RoomId(12271) reverse of Command("out")	no-uid
16566	location	[Lyrsalla's Outfitting]	Mist Harbor	from RoomId(12272) reverse of Command("out")	no-uid
16567	location	[Swilling's Weaponry]	Mist Harbor	from RoomId(12272) reverse of Command("out")	no-uid
16568	location	[Tristriscia's Outfitting]	Mist Harbor	from RoomId(12272) reverse of Command("out")	no-uid
16570	location	[Anire's Outfitting]	Mist Harbor	from RoomId(12273) reverse of Command("out")	no-uid
16572	location	[Lunaryna's General Store]	Mist Harbor	from RoomId(12273) reverse of Command("out")	no-uid
17523	location	[Jozeline's Outfitting]	Mist Harbor	from RoomId(12273) reverse of Command("out")	no-uid
17525	location	[Dagleth's Outfitting]	Mist Harbor	from RoomId(3872) reverse of Command("out")	no-uid
17528	location	[Leonidis' Outfitting]	Mist Harbor	from RoomId(12268) reverse of Command("out")	no-uid
17532	location	[Fengers' Outfitting]	Mist Harbor	from RoomId(12268) reverse of Command("out")	no-uid
17535	location	[Alyssea's Outfitting]	Mist Harbor	from RoomId(12267) reverse of Command("out")	no-uid
25775	verify-location	[Turtle Island, Docks]	Mist Harbor	from RoomId(25774) reverse of Command("go pedal boats")	
16031	location	[Emeralds's Magic Shoppe]	River's Rest	from RoomId(10873) reverse of Command("out")	no-uid
16032	location	[Avelerin's Outfitting]	River's Rest	from RoomId(10873) reverse of Command("out")	no-uid
16033	location	[Grimpl's Magic Shoppe]	River's Rest	from RoomId(10873) reverse of Command("out")	no-uid
16036	location	[Merrelda's Weaponry]	River's Rest	from RoomId(10874) reverse of Command("out")	no-uid
16037	location	[Jezria's Outfitting]	River's Rest	from RoomId(10874) reverse of Command("out")	no-uid
16042	location	[Arkhaine's Outfitting]	River's Rest	from RoomId(10876) reverse of Command("out")	no-uid
16043	location	[Katalinah's Magic Shoppe]	River's Rest	from RoomId(10876) reverse of Command("out")	no-uid
16049	location	[Jersea's Magic Shoppe]	River's Rest	from RoomId(10877) reverse of Command("out")	no-uid
16050	location	[Musiac's Magic Shoppe]	River's Rest	from RoomId(10877) reverse of Command("out")	no-uid
16051	location	[Csilence's Magic Shoppe]	River's Rest	from RoomId(10877) reverse of Command("out")	no-uid
16052	location	[Tholn's Weaponry]	River's Rest	from RoomId(10877) reverse of Command("out")	no-uid
16053	location	[Frue's Outfitting]	River's Rest	from RoomId(10877) reverse of Command("out")	no-uid
16066	location	[Basra's Magic Shoppe]	River's Rest	from RoomId(10875) reverse of Command("out")	no-uid
16067	location	[Serre's Magic Shoppe]	River's Rest	from RoomId(10875) reverse of Command("out")	no-uid
16068	location	[Ntere's Magic Shoppe]	River's Rest	from RoomId(10875) reverse of Command("out")	no-uid
16069	location	[Alkera's Outfitting]	River's Rest	from RoomId(10875) reverse of Command("out")	no-uid
17102	verify-location	[Sorcerer Guild, Arcane Studies]	River's Rest	from RoomId(15977) reverse of Command("go door")	
17730	verify-location	[Empath Guild, Training Foyer]	River's Rest	from RoomId(17725) reverse of Command("out")	
18125	verify-location	[Sorcerer Guild, Cauldron]	River's Rest	from RoomId(18919) reverse of Command("out")	
19879	verify-location	[Wizard Guild, Cauldron]	River's Rest	from RoomId(17061) reverse of Command("out")	
19886	verify-location	[Empath Guild, Master's Hall]	River's Rest	from RoomId(17730) reverse of Command("east")	
19887	verify-location	[Empath Guild, Cauldrons]	River's Rest	from RoomId(19886) reverse of Command("south")	
19888	verify-location	[Empath Guild, Cauldron]	River's Rest	from RoomId(19887) reverse of Command("out")	
19889	verify-location	[Cleric Guild, Training Annex]	River's Rest	from RoomId(17722) reverse of Command("east")	
19890	verify-location	[Cleric Guild, Training Foyer]	River's Rest	from RoomId(19889) reverse of Command("out")	
19892	verify-location	[Cleric Guild, Master's Hall]	River's Rest	from RoomId(19890) reverse of Command("east")	
19893	verify-location	[Cleric Guild, Cauldrons]	River's Rest	from RoomId(19892) reverse of Command("south")	
19894	verify-location	[Cleric Guild, Cauldron]	River's Rest	from RoomId(19893) reverse of Command("out")	
13523	location	[Bacl's Magic Shoppe]	Solhaven	from RoomId(9008) reverse of Command("out")	no-uid
13545	location	[Dannyia's General Store]	Solhaven	from RoomId(9010) reverse of Command("out")	no-uid
13548	location	[Alusa's Magic Shoppe]	Solhaven	from RoomId(9010) reverse of Command("out")	no-uid
13629	location	[Zazian's Weaponry]	Solhaven	from RoomId(9012) reverse of Command("out")	no-uid
13698	location	[Xolstice's General Store]	Solhaven	from RoomId(9012) reverse of Command("out")	no-uid
13736	location	[Jalesia's Weaponry]	Solhaven	from RoomId(9013) reverse of Command("out")	no-uid
13745	location	[Zantanya's Outfitting]	Solhaven	from RoomId(9016) reverse of Command("out")	no-uid
13751	location	[Quentan's Magic Shoppe]	Solhaven	from RoomId(9015) reverse of Command("out")	no-uid
13771	location	[Kelesia's Weaponry]	Solhaven	from RoomId(9018) reverse of Command("out")	no-uid
13776	location	[Mrunk's Outfitting]	Solhaven	from RoomId(9017) reverse of Command("out")	no-uid
13795	location	[Veisus's Weaponry]	Solhaven	from RoomId(9019) reverse of Command("out")	no-uid
13797	location	[Solkivain's Magic Shoppe]	Solhaven	from RoomId(9019) reverse of Command("out")	no-uid
13799	location	[Lyson's Outfitting]	Solhaven	from RoomId(9021) reverse of Command("out")	no-uid
13805	location	[Vionne's Outfitting]	Solhaven	from RoomId(9021) reverse of Command("out")	no-uid
13806	location	[Arlia's Outfitting]	Solhaven	from RoomId(9020) reverse of Command("out")	no-uid
13834	location	[Futtilo's Magic Shoppe]	Solhaven	from RoomId(9021) reverse of Command("out")	no-uid
13840	location	[Kizun's Armory]	Solhaven	from RoomId(9022) reverse of Command("out")	no-uid
17129	location	[Karamilla's Outfitting]	Solhaven	from RoomId(9021) reverse of Command("out")	no-uid
17131	location	[Crayaligus's Weaponry]	Solhaven	from RoomId(9022) reverse of Command("out")	no-uid
17392	location	[Aydan's Weaponry]	Solhaven	from RoomId(9013) reverse of Command("out")	no-uid
17393	location	[Heust's Magic Shoppe]	Solhaven	from RoomId(9014) reverse of Command("out")	no-uid
17400	location	[Mrunk's Combat Gear]	Solhaven	from RoomId(9017) reverse of Command("out")	no-uid
17401	location	[Baelog's Weaponry]	Solhaven	from RoomId(9017) reverse of Command("out")	no-uid
17406	location	[Tlandro's General Store]	Solhaven	from RoomId(9021) reverse of Command("out")	no-uid
17411	location	[Kizun's Weaponry]	Solhaven	from RoomId(9022) reverse of Command("out")	no-uid
18631	verify-location	[Cleric Guild, Training Foyer]	Solhaven	from RoomId(18625) reverse of Steps([Step { action: Move("out"), when: None }, Step { action: Move("east"), when: None }])	
18731	verify-location	[Cleric Guild, Training Annex]	Solhaven	from RoomId(18625) reverse of Command("east")	
18732	verify-location	[Cleric Guild, Master's Hall]	Solhaven	from RoomId(18631) reverse of Command("east")	
18739	verify-location	[Cleric Guild, Cauldrons]	Solhaven	from RoomId(18732) reverse of Command("south")	
18934	verify-location	[Sorcerer Guild, Arcane Studies]	Solhaven	from RoomId(18932) reverse of Command("go door")	
18951	verify-location	[Sorcerer Guild, Cauldron]	Solhaven	from RoomId(18950) reverse of Command("out")	
19744	verify-location	[Empath Guild, Training Foyer]	Solhaven	from RoomId(19742) reverse of Command("out")	
19747	verify-location	[Empath Guild, Master's Hall]	Solhaven	from RoomId(19744) reverse of Command("east")	
19754	verify-location	[Empath Guild, Cauldrons]	Solhaven	from RoomId(19747) reverse of Command("south")	
19755	verify-location	[Empath Guild, Cauldron]	Solhaven	from RoomId(19754) reverse of Command("out")	
28111	verify-location	[Rumor Woods, Lodge]	Summit Academy	from RoomId(25932) reverse of Command("out")	
10487	location	[Purgram's Weaponry]	Ta'Illistim	from RoomId(731) reverse of Command("out")	no-uid
10672	location	[Anghosina's Weaponry]	Ta'Illistim	from RoomId(731) reverse of Command("out")	no-uid
12	location	[Bank of Ta'Illistim, Lobby]	Ta'Illistim	from RoomId(9) reverse of Command("north")	no-uid
13246	location	[Ta'Illistim, Tower of Light]	Ta'Illistim	from RoomId(713) reverse of Command("out")	no-uid
13319	location	[Ta'Illistim, Tower of Fate]	Ta'Illistim	from RoomId(700) reverse of Command("out")	no-uid
13364	location	[Ta'Illistim, Tower of Order]	Ta'Illistim	from RoomId(207) reverse of Command("out")	no-uid
15575	location	[Ionxyx's Weaponry]	Ta'Illistim	from RoomId(730) reverse of Command("out")	no-uid
15578	location	[Sayokia's Outfitting]	Ta'Illistim	from RoomId(731) reverse of Command("out")	no-uid
15582	location	[Mellindya's Outfitting]	Ta'Illistim	from RoomId(733) reverse of Command("out")	no-uid
15584	location	[Marmidoc's Weaponry]	Ta'Illistim	from RoomId(732) reverse of Command("out")	no-uid
15589	location	[Bolissia's General Store]	Ta'Illistim	from RoomId(736) reverse of Command("out")	no-uid
15906	verify-location	[Wizard Guild, Cauldron]	Ta'Illistim	from RoomId(16941) reverse of Command("out")	
16397	location	[Slark's Outfitting]	Ta'Illistim	from RoomId(737) reverse of Command("out")	no-uid
16935	location	[Aelfwine's Magic Shoppe]	Ta'Illistim	from RoomId(737) reverse of Command("out")	no-uid
16936	location	[Maxiel's Magic Shoppe]	Ta'Illistim	from RoomId(736) reverse of Command("out")	no-uid
18768	location	[Ornim's General Store]	Ta'Illistim	from RoomId(733) reverse of Command("out")	no-uid
18770	location	[Velvette's General Store]	Ta'Illistim	from RoomId(732) reverse of Command("out")	no-uid
18777	location	[Sasanach's Weaponry]	Ta'Illistim	from RoomId(16405) reverse of Command("out")	no-uid
19002	verify-location	[Sorcerer Guild, Arcane Studies]	Ta'Illistim	from RoomId(18161) reverse of Command("go door")	
19003	verify-location	[Sorcerer Guild, Cauldrons]	Ta'Illistim	from RoomId(18161) reverse of Command("north")	
19004	verify-location	[Sorcerer Guild, Cauldron]	Ta'Illistim	from RoomId(19003) reverse of Command("out")	
19512	verify-location	[Empath Guild, Training Foyer]	Ta'Illistim	from RoomId(19511) reverse of Command("out")	
19534	verify-location	[Empath Guild, Master's Hall]	Ta'Illistim	from RoomId(19512) reverse of Command("east")	
19535	verify-location	[Empath Guild, Cauldrons]	Ta'Illistim	from RoomId(19534) reverse of Command("south")	
19536	verify-location	[Empath Guild, Cauldron]	Ta'Illistim	from RoomId(19535) reverse of Command("out")	
28591	verify-location	[Villa, Black Drake Table]	Ta'Illistim	from RoomId(20704) reverse of Command("out")	
3849	location	[Teeah's Magic Shoppe]	Ta'Illistim	from RoomId(641) reverse of Command("out")	no-uid
3876	location	[Crystelfyra's Outfitting]	Ta'Illistim	from RoomId(641) reverse of Command("out")	no-uid
4014	location	[Ta'Illistim Keep, Lobby]	Ta'Illistim	from RoomId(623) reverse of Command("out")	no-uid
4016	location	[Ta'Illistim Keep, Lobby]	Ta'Illistim	from RoomId(742) reverse of Command("out")	no-uid
5687	location	[Treeva's Outfitting]	Ta'Illistim	from RoomId(735) reverse of Command("out")	no-uid
5694	location	[Kiyya's Magic Shoppe]	Ta'Illistim	from RoomId(730) reverse of Command("out")	no-uid
5696	location	[Jedhan's General Store]	Ta'Illistim	from RoomId(730) reverse of Command("out")	no-uid
643	location	[Tamarkk's Weaponry]	Ta'Illistim	from RoomId(642) reverse of Command("out")	no-uid
8771	location	[Velvette's Outfitting]	Ta'Illistim	from RoomId(732) reverse of Command("out")	no-uid
9307	location	[Wierdling's Magic Shoppe]	Ta'Illistim	from RoomId(737) reverse of Command("out")	no-uid
9309	location	[Aelfwine's Outfitting]	Ta'Illistim	from RoomId(737) reverse of Command("out")	no-uid
9401	location	[Fethilryn's Weaponry]	Ta'Illistim	from RoomId(736) reverse of Command("out")	no-uid
13559	location	[Vengral's Weaponry]	Ta'Vaalor	from RoomId(10457) reverse of Command("out")	no-uid
13562	location	[Galiphein's Armory]	Ta'Vaalor	from RoomId(10460) reverse of Command("out")	no-uid
13564	location	[Limley's Weaponry]	Ta'Vaalor	from RoomId(10460) reverse of Command("out")	no-uid
13570	location	[Briietta's Outfitting]	Ta'Vaalor	from RoomId(10462) reverse of Command("out")	no-uid
13574	location	[Siatrie's Outfitting]	Ta'Vaalor	from RoomId(10459) reverse of Command("out")	no-uid
13581	location	[Scarlotte's Magic Shoppe]	Ta'Vaalor	from RoomId(10456) reverse of Command("out")	no-uid
13582	location	[Mhairaid's Magic Shoppe]	Ta'Vaalor	from RoomId(10456) reverse of Command("out")	no-uid
13583	location	[Aurany's Lockpicks]	Ta'Vaalor	from RoomId(10456) reverse of Command("out")	no-uid
13584	location	[Narcissiia's Outfitting]	Ta'Vaalor	from RoomId(10456) reverse of Command("out")	no-uid
13586	location	[Laeser's Weaponry]	Ta'Vaalor	from RoomId(10450) reverse of Command("out")	no-uid
13587	location	[Poemme's Outfitting]	Ta'Vaalor	from RoomId(10450) reverse of Command("out")	no-uid
13588	location	[Hamioukatou's Weaponry]	Ta'Vaalor	from RoomId(10450) reverse of Command("out")	no-uid
13599	location	[Terren's Outfitting]	Ta'Vaalor	from RoomId(10461) reverse of Command("out")	no-uid
13606	location	[Serlisce's Outfitting]	Ta'Vaalor	from RoomId(10464) reverse of Command("out")	no-uid
13613	location	[Nalatia's Magic Shoppe]	Ta'Vaalor	from RoomId(10453) reverse of Command("out")	no-uid
13615	location	[Chauncie's Outfitting]	Ta'Vaalor	from RoomId(10453) reverse of Command("out")	no-uid
13617	location	[Kathralynn's Outfitting]	Ta'Vaalor	from RoomId(10452) reverse of Command("out")	no-uid
13620	location	[Chene's Magic Shoppe]	Ta'Vaalor	from RoomId(10449) reverse of Command("out")	no-uid
13623	location	[Sasanach's Weaponry]	Ta'Vaalor	from RoomId(10451) reverse of Command("out")	no-uid
13628	location	[Varrordum's Magic Shoppe]	Ta'Vaalor	from RoomId(10451) reverse of Command("out")	no-uid
13630	location	[Lilokia's Armory]	Ta'Vaalor	from RoomId(10448) reverse of Command("out")	no-uid
13635	location	[Kezhia's Outfitting]	Ta'Vaalor	from RoomId(10445) reverse of Command("out")	no-uid
13645	location	[Astrallea's Outfitting]	Ta'Vaalor	from RoomId(10446) reverse of Command("out")	no-uid
13646	location	[Olcan's Weaponry]	Ta'Vaalor	from RoomId(10446) reverse of Command("out")	no-uid
13677	location	[Lisera's Outfitting]	Ta'Vaalor	from RoomId(13577) reverse of Command("west")	no-uid
15528	location	[Gweniveer's Combat Gear]	Ta'Vaalor	from RoomId(10443) reverse of Command("out")	no-uid
15529	location	[Meekia's Outfitting]	Ta'Vaalor	from RoomId(10453) reverse of Command("out")	no-uid
15537	location	[Lylistraee's Outfitting]	Ta'Vaalor	from RoomId(10449) reverse of Command("out")	no-uid
15542	location	[Milque's Magic Shoppe]	Ta'Vaalor	from RoomId(10448) reverse of Command("out")	no-uid
16697	location	[Haether's General Store]	Ta'Vaalor	from RoomId(10459) reverse of Command("out")	no-uid
16699	location	[Troisia's Combat Gear]	Ta'Vaalor	from RoomId(10448) reverse of Command("out")	no-uid
16715	location	[Coraxe's Weaponry]	Ta'Vaalor	from RoomId(10453) reverse of Command("out")	no-uid
17289	location	[Ariasha's Outfitting]	Ta'Vaalor	from RoomId(10463) reverse of Command("out")	no-uid
17300	location	[Kakoon's Weaponry]	Ta'Vaalor	from RoomId(10460) reverse of Command("out")	no-uid
17333	location	[Quille's Outfitting]	Ta'Vaalor	from RoomId(10463) reverse of Command("out")	no-uid
17336	location	[Dorukan's General Store]	Ta'Vaalor	from RoomId(10464) reverse of Command("out")	no-uid
17340	location	[Ambreale's Magic Shoppe]	Ta'Vaalor	from RoomId(10452) reverse of Command("out")	no-uid
18047	location	[Quando's Weaponry]	Ta'Vaalor	from RoomId(10457) reverse of Command("out")	no-uid
18050	location	[Euthea's Outfitting]	Ta'Vaalor	from RoomId(10463) reverse of Command("out")	no-uid
18055	location	[Dolchai's Magic Shoppe]	Ta'Vaalor	from RoomId(10455) reverse of Command("out")	no-uid
18060	location	[Ettore's General Store]	Ta'Vaalor	from RoomId(10452) reverse of Command("out")	no-uid
18066	location	[Phadayls' Magic Shoppe]	Ta'Vaalor	from RoomId(10447) reverse of Command("out")	no-uid
18077	location	[Wynterr's General Store]	Ta'Vaalor	from RoomId(18057) reverse of Command("west")	no-uid
18078	location	[Wynterr's General Store]	Ta'Vaalor	from RoomId(18057) reverse of Command("south")	no-uid
19812	verify-location	[Cleric Guild, Training Foyer]	Ta'Vaalor	from RoomId(19811) reverse of Command("out")	
19827	verify-location	[Cleric Guild, Master's Hall]	Ta'Vaalor	from RoomId(19812) reverse of Command("east")	
19830	verify-location	[Cleric Guild, Cauldron]	Ta'Vaalor	from RoomId(19828) reverse of Command("out")	
23601	verify-location	[Catacombs, Passageway]	Ta'Vaalor	from RoomId(23561) reverse of Command("go hallway")	
24029	verify-location	[Coliseum, Southwest Corridor]	Ta'Vaalor	from RoomId(24016) reverse of Command("northeast")	no-uid
24031	verify-location	[Coliseum, Southwest Corridor]	Ta'Vaalor	from RoomId(24030) reverse of Command("go arch")	no-uid
28592	verify-location	[Villa, Black Drake Table]	Ta'Vaalor	RoomId(20711) Command("go table")	
21871	verify-location	[The Motion Of The Potion]	Talador	from RoomId(21870) reverse of Command("out")	no-uid
22016	verify-location	[Fitzwobbin's Figures, Arena]	Talador	from RoomId(22015) reverse of Command("go hatch")	no-uid
25636	verify-location	[A Weathered Shack]	Timmorain Road	from RoomId(25637) reverse of Command("out")	
